chrom	length	bases	mean	min	max
chr1	248956422	7047311660	28.31	0	17900
chr2	242193529	6836531847	28.23	0	1170
chr3	198295559	5641773968	28.45	0	992
chr4	190214555	5519563192	29.02	0	3690
chr5	181538259	5139855553	28.31	0	3869
chr6	170805979	4905398607	28.72	0	543
chr7	159345973	4515985330	28.34	0	674
chr8	145138636	4085389663	28.15	0	706
chr9	138394717	3407290445	24.62	0	388
chr10	133797422	3830047886	28.63	0	1161
chr11	135086622	3752974038	27.78	0	109
chr12	133275309	3791824262	28.45	0	1478
chr13	114364328	2910026250	25.45	0	849
chr14	107043718	2523444092	23.57	0	141
chr15	101991189	2421205139	23.74	0	291
chr16	90338345	2380363976	26.35	0	8677
chr17	83257441	2286776381	27.47	0	541
chr18	80373285	2207784696	27.47	0	399
chr19	58617616	1521711970	25.96	0	339
chr20	64444167	1868860624	29.00	0	1534
chr21	46709983	1339026262	28.67	0	4512
chr22	50818468	1050377168	20.67	0	2406
chrX	156040895	2213576210	14.19	0	126
chrY	57227415	661194136	11.55	0	8048
chrM	16569	42358249	2556.48	1447	3125
chr1_KI270706v1_random	175055	5812698	33.20	6	71
chr1_KI270707v1_random	32032	413220	12.90	2	23
chr1_KI270708v1_random	127682	8095	0.06	0	2
chr1_KI270709v1_random	66860	26917216	402.59	23	1684
chr1_KI270710v1_random	40176	440377	10.96	3	19
chr1_KI270711v1_random	42210	1266871	30.01	3	65
chr1_KI270712v1_random	176043	1979581	11.24	0	34
chr1_KI270713v1_random	40745	1682105	41.28	2	76
chr1_KI270714v1_random	41717	1613670	38.68	2	61
chr2_KI270715v1_random	161471	3081316	19.08	5	53
chr2_KI270716v1_random	153799	5018804	32.63	2	149
chr3_GL000221v1_random	155397	11003780	70.81	0	153
chr4_GL000008v2_random	209709	16031508	76.45	9	659
chr5_GL000208v1_random	92689	4405111	47.53	15	78
chr9_KI270717v1_random	40062	238235	5.95	0	11
chr9_KI270718v1_random	38054	1270109	33.38	4	62
chr9_KI270719v1_random	176845	3959884	22.39	0	66
chr9_KI270720v1_random	39050	1280782	32.80	12	47
chr11_KI270721v1_random	100316	506955	5.05	0	10
chr14_GL000009v2_random	201709	14268959	70.74	0	146
chr14_GL000225v1_random	211173	54457683	257.88	1	781
chr14_KI270722v1_random	194050	4356174	22.45	0	54
chr14_GL000194v1_random	191469	8297085	43.33	6	87
chr14_KI270723v1_random	38115	1529075	40.12	5	66
chr14_KI270724v1_random	39555	377408	9.54	0	17
chr14_KI270725v1_random	172810	4497833	26.03	3	50
chr14_KI270726v1_random	43739	12238	0.28	0	3
chr15_KI270727v1_random	448248	9610497	21.44	0	86
chr16_KI270728v1_random	1872759	39307860	20.99	0	80
chr17_GL000205v2_random	185591	14075959	75.84	0	156
chr17_KI270729v1_random	280839	21336311	75.97	0	1402
chr17_KI270730v1_random	112551	5822047	51.73	0	158
chr22_KI270731v1_random	150754	465900	3.09	0	12
chr22_KI270732v1_random	41543	3672106	88.39	26	113
chr22_KI270733v1_random	179772	88886681	494.44	2	2363
chr22_KI270734v1_random	165050	7566844	45.85	0	1600
chr22_KI270735v1_random	42811	3397403	79.36	28	125
chr22_KI270736v1_random	181920	12188417	67.00	0	201
chr22_KI270737v1_random	103838	3897094	37.53	1	155
chr22_KI270738v1_random	99375	2170294	21.84	0	55
chr22_KI270739v1_random	73985	331259	4.48	0	18
chrY_KI270740v1_random	37240	490299	13.17	6	22
chrUn_KI270302v1	2274	5409	2.38	1	4
chrUn_KI270305v1	1472	1828	1.24	0	2
chrUn_KI270322v1	21476	15399	0.72	0	13
chrUn_KI270320v1	4416	46171	10.46	5	13
chrUn_KI270310v1	1201	2534	2.11	1	3
chrUn_KI270311v1	12399	5127	0.41	0	3
chrUn_KI270412v1	1179	118	0.10	0	1
chrUn_KI270411v1	2646	9371	3.54	0	7
chrUn_KI270414v1	2489	1703	0.68	0	1
chrUn_KI270418v1	2145	2142	1.00	0	1
chrUn_KI270420v1	2321	2304	0.99	0	1
chrUn_KI270417v1	2043	3310	1.62	1	2
chrUn_KI270423v1	981	792	0.81	0	1
chrUn_KI270429v1	1361	575	0.42	0	1
chrUn_KI270442v1	392061	24375696	62.17	0	206
chrUn_KI270466v1	1233	62510	50.70	6	73
chrUn_KI270465v1	1774	4499	2.54	2	3
chrUn_KI270467v1	3920	32417488	8269.77	5	10335
chrUn_KI270435v1	92983	4186391	45.02	25	91
chrUn_KI270438v1	112505	87705446	779.57	0	8076
chrUn_KI270468v1	4055	37660	9.29	7	12
chrUn_KI270510v1	2415	4423	1.83	1	2
chrUn_KI270509v1	2318	7565	3.26	0	6
chrUn_KI270518v1	2186	15075	6.90	3	8
chrUn_KI270508v1	1951	9185	4.71	2	7
chrUn_KI270516v1	1300	1490	1.15	0	2
chrUn_KI270512v1	22689	404605	17.83	0	33
chrUn_KI270519v1	138126	6187113	44.79	0	225
chrUn_KI270522v1	5674	95775	16.88	13	21
chrUn_KI270511v1	8127	215404	26.50	0	32
chrUn_KI270515v1	6361	189966	29.86	14	38
chrUn_KI270507v1	5353	63573	11.88	10	13
chrUn_KI270517v1	3253	39587	12.17	5	15
chrUn_KI270530v1	2168	3126	1.44	0	2
chrUn_KI270538v1	91309	4154595	45.50	0	180
chrUn_KI270587v1	2969	33609	11.32	7	14
chrUn_KI270580v1	1553	1437	0.93	0	3
chrUn_KI270581v1	7046	13179	1.87	0	5
chrUn_KI270579v1	31033	390603	12.59	2	26
chrUn_KI270589v1	44474	511303	11.50	0	39
chrUn_KI270590v1	4685	145843	31.13	0	40
chrUn_KI270584v1	4513	15171	3.36	0	6
chrUn_KI270582v1	6504	12727	1.96	0	4
chrUn_KI270588v1	6158	36984	6.01	0	9
