chrom	length	bases	mean	min	max
chr1	248956422	7497644024	30.12	0	12900
chr2	242193529	7483339708	30.90	0	890
chr3	198295559	6166267138	31.10	0	1994
chr4	190214555	6048900083	31.80	0	2417
chr5	181538259	5572421396	30.70	0	3818
chr6	170805979	5357902532	31.37	0	1070
chr7	159345973	4855829825	30.47	0	983
chr8	145138636	4483935198	30.89	0	673
chr9	138394717	3652016248	26.39	0	398
chr10	133797422	4153146951	31.04	0	811
chr11	135086622	4090899379	30.28	0	120
chr12	133275309	4070931175	30.55	0	200
chr13	114364328	3167602791	27.70	0	661
chr14	107043718	2768028441	25.86	0	143
chr15	101991189	2563260358	25.13	0	191
chr16	90338345	2579089540	28.55	0	9033
chr17	83257441	2419753023	29.06	0	512
chr18	80373285	2381936587	29.64	0	306
chr19	58617616	1613975667	27.53	0	555
chr20	64444167	1994457684	30.95	0	1418
chr21	46709983	1361063848	29.14	0	2309
chr22	50818468	1130976061	22.26	0	425
chrX	156040895	4642620948	29.75	0	343
chrY	57227415	47475769	0.83	0	904
chrM	16569	23797204	1436.25	783	1698
chr1_KI270706v1_random	175055	5646325	32.25	9	55
chr1_KI270707v1_random	32032	423191	13.21	5	24
chr1_KI270708v1_random	127682	1601470	12.54	0	27
chr1_KI270709v1_random	66860	34838970	521.07	43	2211
chr1_KI270710v1_random	40176	478822	11.92	5	24
chr1_KI270711v1_random	42210	796610	18.87	0	44
chr1_KI270712v1_random	176043	2689541	15.28	0	29
chr1_KI270713v1_random	40745	1104820	27.12	0	51
chr1_KI270714v1_random	41717	360742	8.65	1	12
chr2_KI270715v1_random	161471	1703204	10.55	0	33
chr2_KI270716v1_random	153799	4806370	31.25	8	108
chr3_GL000221v1_random	155397	9506680	61.18	1	129
chr4_GL000008v2_random	209709	17859168	85.16	7	618
chr5_GL000208v1_random	92689	4889184	52.75	25	70
chr9_KI270717v1_random	40062	510147	12.73	5	19
chr9_KI270718v1_random	38054	1291834	33.95	1	49
chr9_KI270719v1_random	176845	8928928	50.49	2	114
chr9_KI270720v1_random	39050	1199141	30.71	3	51
chr11_KI270721v1_random	100316	1008089	10.05	0	24
chr14_GL000009v2_random	201709	11158230	55.32	2	91
chr14_GL000225v1_random	211173	47666550	225.72	0	878
chr14_KI270722v1_random	194050	1969268	10.15	0	51
